condition,model_level,objective,candidate_id,r2,baseline_r2
CN->CN,OLS,o_max,m009016_o_max_ord12_rk00017,0.4362612535891333,0.436846775656364
CN->CN,OLS,o_min,m060533_o_min_ord16_rk00019,0.4579779314484076,0.436846775656364
CN->CN,OLS,o_min,m060520_o_min_ord16_rk00006,0.4448044578950222,0.436846775656364
CN->CN,OLS,o_min,m051525_o_min_ord7_rk00011,0.4385163865911838,0.436846775656364
CN->CN,OLS,o_min,m049518_o_min_ord5_rk00004,0.4338262275478105,0.436846775656364
CN->CN,OLS,o_min,m053527_o_min_ord9_rk00013,0.4333697842282464,0.436846775656364
CN->CN,OLS,o_min,m051533_o_min_ord7_rk00019,0.4330622341354605,0.436846775656364
CN->CN,OLS,o_min,m051529_o_min_ord7_rk00015,0.4329774950119193,0.436846775656364
CN->CN,OLS,o_min,m053529_o_min_ord9_rk00015,0.4326792254188896,0.436846775656364
CN->CN,OLS,o_min,m047520_o_min_ord3_rk00006,0.4323593257744804,0.436846775656364
CN->CN,OLS,o_min,m053533_o_min_ord9_rk00019,0.4318604227309134,0.436846775656364
CN->CN,OLS,o_min,m049522_o_min_ord5_rk00008,0.4317692715112725,0.436846775656364
CN->CN,OLS,o_min,m047517_o_min_ord3_rk00003,0.4317551776498558,0.436846775656364
CN->CN,OLS,o_min,m066531_o_min_ord22_rk00017,0.4314451523528827,0.436846775656364
CN->CN,OLS,o_min,m049525_o_min_ord5_rk00011,0.4310659488653486,0.436846775656364
CN->CN,OLS,o_min,m050519_o_min_ord6_rk00005,0.430669105334626,0.436846775656364
CN->CN,OLS,o_min,m047524_o_min_ord3_rk00010,0.4303887835701296,0.436846775656364
CN->CN,OLS,o_min,m049519_o_min_ord5_rk00005,0.4302701469255588,0.436846775656364
CN->CN,OLS,o_min,m067520_o_min_ord23_rk00006,0.4299320039668129,0.436846775656364
CN->CN,OLS,o_min,m047525_o_min_ord3_rk00011,0.4298399976993717,0.436846775656364
CN->CN,OLS,o_min,m047533_o_min_ord3_rk00019,0.4294839872919086,0.436846775656364
CN->CN,d1,o_max,m000003_o_max_ord3_rk00004,0.4393450544178957,0.4203703523189125
CN->CN,d1,o_max,m000013_o_max_ord3_rk00014,0.4349150246603708,0.4203703523189125
CN->CN,d1,o_max,m001018_o_max_ord4_rk00019,0.4332917664527776,0.4203703523189125
CN->CN,d1,o_max,m000001_o_max_ord3_rk00002,0.4324996004666199,0.4203703523189125
CN->CN,d1,o_max,m000012_o_max_ord3_rk00013,0.4323826014115232,0.4203703523189125
CN->CN,d1,o_max,m001016_o_max_ord4_rk00017,0.4311166771215362,0.4203703523189125
CN->CN,d1,o_max,m001004_o_max_ord4_rk00005,0.4294754849601094,0.4203703523189125
CN->CN,d1,o_max,m005004_o_max_ord8_rk00005,0.4281315094514264,0.4203703523189125
CN->CN,d1,o_max,m027019_o_max_ord30_rk00020,0.4273233455956449,0.4203703523189125
CN->CN,d1,o_max,m000015_o_max_ord3_rk00016,0.4269624238858803,0.4203703523189125
CN->CN,d1,o_max,m005014_o_max_ord8_rk00015,0.4264405902753211,0.4203703523189125
CN->CN,d1,o_max,m024010_o_max_ord27_rk00011,0.4259010199489251,0.4203703523189125
CN->CN,d1,o_max,m026019_o_max_ord29_rk00020,0.4258563458662296,0.4203703523189125
CN->CN,d1,o_max,m022011_o_max_ord25_rk00012,0.4257758848959193,0.4203703523189125
